text,label
Scientists discover breakthrough in renewable energy technology,0
Government announces new healthcare policy changes,0
Stock market shows steady growth in technology sector,0
University research shows benefits of regular exercise,0
New study reveals impact of climate change on agriculture,0
Technology company reports quarterly earnings increase,0
Medical researchers develop new treatment for diabetes,0
Education department launches new literacy program,0
Economic indicators show steady job market growth,0
Environmental agency announces new conservation initiative,0
Sports team wins championship after successful season,0
Local community center opens new facility for seniors,0
Transportation department completes highway improvement project,0
Public health officials recommend seasonal flu vaccination,0
Archaeological team discovers ancient artifacts in excavation,0
Weather service issues storm warning for coastal areas,0
Banking sector shows stability in recent financial reports,0
Agricultural department announces crop yield improvements,0
Space agency successfully launches new satellite mission,0
International trade agreement signed between countries,0
Celebrity spotted with alien at local restaurant,1
Miracle cure discovered that doctors don't want you to know,1
Breaking: World leaders secretly controlled by lizard people,1
Local man loses 50 pounds with this one weird trick,1
Scientists hide truth about flat earth conspiracy,1
Billionaire reveals secret to instant wealth in shocking interview,1
Government covers up evidence of time travel experiments,1
Ancient aliens built pyramids using advanced technology,1
Pharmaceutical companies suppress natural cancer cure,1
Celebrity endorses magical weight loss tea that melts fat,1
Breaking: Moon landing was filmed in Hollywood studio,1
Shocking discovery: Vaccines contain mind control chips,1
Local woman discovers fountain of youth in backyard,1
Politicians secretly worship ancient demon in basement ritual,1
Scientists confirm earth is actually hollow with underground cities,1
Miracle fruit cures all diseases but big pharma hides it,1
Breaking: Social media apps can read your thoughts,1
Government uses weather machines to control population,1
Celebrity reveals shocking truth about reptilian shapeshifters,1
Ancient prophecy predicts end of world next Tuesday,1
